INFO 2020-08-07 12:59:46,186 basehttp 77339 123145563353088 "GET /static/css/login.css HTTP/1.1" 200 448
INFO 2020-08-07 13:00:13,002 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3736
INFO 2020-08-07 13:00:19,227 basehttp 77339 123145563353088 "GET /user_manage/register/ HTTP/1.1" 200 6221
INFO 2020-08-07 13:00:19,250 basehttp 77339 123145563353088 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2020-08-07 13:00:50,598 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3664
INFO 2020-08-07 13:02:54,877 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3664
INFO 2020-08-07 13:03:04,162 basehttp 77339 123145563353088 "GET /user_manage/register/ HTTP/1.1" 200 6217
INFO 2020-08-07 13:03:08,266 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3664
INFO 2020-08-07 13:05:16,895 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 2751
INFO 2020-08-07 13:05:24,489 basehttp 77339 123145563353088 "GET /user_manage/register/ HTTP/1.1" 200 6217
INFO 2020-08-07 13:05:26,333 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 2751
INFO 2020-08-07 13:06:27,420 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 4212
INFO 2020-08-07 13:06:43,345 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 4216
INFO 2020-08-07 13:06:44,186 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 4216
INFO 2020-08-07 13:07:11,570 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3726
INFO 2020-08-07 13:07:11,587 basehttp 77339 123145563353088 "GET /static/css/register.css HTTP/1.1" 304 0
INFO 2020-08-07 13:07:11,591 basehttp 77339 123145563353088 "GET /static/js/login.js HTTP/1.1" 304 0
INFO 2020-08-07 13:07:18,942 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3726
INFO 2020-08-07 13:08:48,179 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3724
INFO 2020-08-07 13:08:49,948 basehttp 77339 123145563353088 "GET /user_manage/register/%20role= HTTP/1.1" 200 6217
INFO 2020-08-07 13:08:56,303 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3724
INFO 2020-08-07 13:09:18,592 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3724
INFO 2020-08-07 13:09:19,281 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3724
INFO 2020-08-07 13:09:20,201 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3724
